1 -itemset frequent pattern :
"V1"
"1"	1
"2"	27
"3"	44
"4"	45
"5"	46
"6"	48
"7"	69
"8"	71
"9"	151
"10"	230
"11"	298
"12"	325
"13"	412
"14"	434
"15"	435
"16"	437
"17"	438
"18"	439
"19"	440
"20"	441
"21"	442
"22"	443
"23"	444
"24"	445

2 -itemset frequent pattern :
"V1"	"V2"
"1"	1	440
"2"	1	442
"3"	27	44
"4"	27	45
"5"	27	434
"6"	27	435
"7"	27	437
"8"	27	438
"9"	27	439
"10"	27	440
"11"	44	45
"12"	44	325
"13"	44	434
"14"	44	435
"15"	44	437
"16"	44	438
"17"	44	439
"18"	44	440
"19"	44	441
"20"	44	442
"21"	44	443
"22"	44	444
"23"	45	46
"24"	45	71
"25"	45	151
"26"	45	325
"27"	45	412
"28"	45	434
"29"	45	435
"30"	45	437
"31"	45	438
"32"	45	440
"33"	45	441
"34"	45	442
"35"	45	443
"36"	45	444
"37"	45	445
"38"	46	151
"39"	46	325
"40"	46	435
"41"	46	442
"42"	46	443
"43"	48	437
"44"	69	435
"45"	71	325
"46"	71	435
"47"	71	442
"48"	71	443
"49"	151	325
"50"	151	442
"51"	151	443
"52"	230	325
"53"	230	434
"54"	230	435
"55"	230	440
"56"	230	442
"57"	230	443
"58"	230	444
"59"	325	434
"60"	325	435
"61"	325	437
"62"	325	438
"63"	325	440
"64"	325	441
"65"	325	442
"66"	325	443
"67"	325	444
"68"	325	445
"69"	412	435
"70"	412	440
"71"	434	435
"72"	434	437
"73"	434	438
"74"	434	439
"75"	434	440
"76"	434	441
"77"	434	442
"78"	434	443
"79"	434	444
"80"	435	437
"81"	435	438
"82"	435	439
"83"	435	440
"84"	435	441
"85"	435	442
"86"	435	443
"87"	435	444
"88"	435	445
"89"	437	438
"90"	437	439
"91"	437	440
"92"	437	442
"93"	438	439
"94"	438	440
"95"	438	442
"96"	438	443
"97"	438	444
"98"	439	440
"99"	439	441
"100"	439	442
"101"	439	444
"102"	440	441
"103"	440	442
"104"	440	443
"105"	440	444
"106"	440	445
"107"	441	442
"108"	441	443
"109"	441	444
"110"	441	445
"111"	442	443
"112"	442	444
"113"	442	445
"114"	443	444
"115"	443	445
"116"	444	445

3 -itemset frequent pattern :
"V1"	"V2"	"V3"
"1"	27	44	434
"2"	27	44	435
"3"	27	44	437
"4"	27	44	438
"5"	27	44	439
"6"	27	44	440
"7"	27	434	435
"8"	27	434	437
"9"	27	434	438
"10"	27	434	439
"11"	27	434	440
"12"	27	435	437
"13"	27	435	438
"14"	27	435	440
"15"	27	437	438
"16"	27	437	439
"17"	27	437	440
"18"	27	438	439
"19"	27	438	440
"20"	27	439	440
"21"	44	45	325
"22"	44	45	434
"23"	44	45	435
"24"	44	45	440
"25"	44	45	443
"26"	44	325	434
"27"	44	325	435
"28"	44	325	440
"29"	44	325	443
"30"	44	434	435
"31"	44	434	437
"32"	44	434	438
"33"	44	434	439
"34"	44	434	440
"35"	44	434	443
"36"	44	435	437
"37"	44	435	438
"38"	44	435	440
"39"	44	435	442
"40"	44	435	443
"41"	44	437	438
"42"	44	437	439
"43"	44	437	440
"44"	44	438	439
"45"	44	438	440
"46"	44	439	440
"47"	44	440	442
"48"	44	440	443
"49"	45	46	325
"50"	45	325	434
"51"	45	325	435
"52"	45	325	440
"53"	45	325	442
"54"	45	325	443
"55"	45	434	435
"56"	45	434	440
"57"	45	434	443
"58"	45	435	437
"59"	45	435	438
"60"	45	435	440
"61"	45	435	441
"62"	45	435	442
"63"	45	435	443
"64"	45	435	444
"65"	45	435	445
"66"	45	440	443
"67"	45	442	443
"68"	45	442	444
"69"	45	442	445
"70"	46	325	435
"71"	46	325	443
"72"	151	325	442
"73"	230	435	442
"74"	230	435	443
"75"	325	434	435
"76"	325	434	440
"77"	325	434	443
"78"	325	435	438
"79"	325	435	440
"80"	325	435	442
"81"	325	435	443
"82"	325	435	444
"83"	325	435	445
"84"	325	440	443
"85"	325	442	443
"86"	325	442	444
"87"	325	442	445
"88"	325	443	444
"89"	434	435	437
"90"	434	435	438
"91"	434	435	439
"92"	434	435	440
"93"	434	435	442
"94"	434	435	443
"95"	434	437	438
"96"	434	437	439
"97"	434	437	440
"98"	434	438	439
"99"	434	438	440
"100"	434	439	440
"101"	434	440	442
"102"	434	440	443
"103"	435	437	438
"104"	435	437	440
"105"	435	438	439
"106"	435	438	440
"107"	435	438	442
"108"	435	438	443
"109"	435	439	440
"110"	435	440	442
"111"	435	440	443
"112"	435	440	444
"113"	435	441	442
"114"	435	441	444
"115"	435	442	443
"116"	435	442	444
"117"	435	442	445
"118"	435	443	444
"119"	435	443	445
"120"	435	444	445
"121"	437	438	439
"122"	437	438	440
"123"	437	438	442
"124"	437	439	440
"125"	438	439	440
"126"	438	439	442
"127"	438	440	442
"128"	439	440	442
"129"	441	442	444
"130"	442	443	444
"131"	442	443	445
"132"	442	444	445

4 -itemset frequent pattern :
"V1"	"V2"	"V3"	"V4"
"1"	27	44	434	435
"2"	27	44	434	437
"3"	27	44	434	438
"4"	27	44	434	440
"5"	27	44	435	437
"6"	27	44	435	438
"7"	27	44	435	440
"8"	27	44	437	438
"9"	27	44	437	440
"10"	27	44	438	440
"11"	27	434	435	437
"12"	27	434	435	438
"13"	27	434	435	440
"14"	27	434	437	438
"15"	27	434	437	440
"16"	27	434	438	440
"17"	27	434	439	440
"18"	27	435	437	438
"19"	27	435	437	440
"20"	27	435	438	440
"21"	27	437	438	439
"22"	27	437	438	440
"23"	27	437	439	440
"24"	27	438	439	440
"25"	44	45	325	435
"26"	44	45	434	435
"27"	44	45	434	440
"28"	44	45	435	440
"29"	44	45	435	443
"30"	44	325	434	435
"31"	44	325	434	440
"32"	44	325	435	440
"33"	44	325	435	443
"34"	44	434	435	437
"35"	44	434	435	438
"36"	44	434	435	440
"37"	44	434	435	443
"38"	44	434	437	438
"39"	44	434	437	440
"40"	44	434	438	440
"41"	44	434	440	443
"42"	44	435	437	438
"43"	44	435	437	440
"44"	44	435	438	440
"45"	44	435	440	443
"46"	44	437	438	439
"47"	44	437	438	440
"48"	44	437	439	440
"49"	44	438	439	440
"50"	45	325	434	435
"51"	45	325	435	440
"52"	45	325	435	443
"53"	45	434	435	440
"54"	45	434	435	443
"55"	45	435	440	443
"56"	45	435	442	443
"57"	325	434	435	440
"58"	325	434	435	443
"59"	325	435	440	443
"60"	434	435	437	438
"61"	434	435	437	440
"62"	434	435	438	440
"63"	434	435	440	443
"64"	434	437	438	439
"65"	434	437	438	440
"66"	434	437	439	440
"67"	434	438	439	440
"68"	435	437	438	440
"69"	437	438	439	440

5 -itemset frequent pattern :
"V1"	"V2"	"V3"	"V4"	"V5"
"1"	27	44	434	435	437
"2"	27	44	434	435	440
"3"	27	44	434	437	438
"4"	27	44	434	437	440
"5"	27	44	434	438	440
"6"	27	44	435	437	440
"7"	27	44	435	438	440
"8"	27	44	437	438	440
"9"	27	434	435	437	440
"10"	27	434	435	438	440
"11"	27	434	437	438	440
"12"	27	435	437	438	440
"13"	27	437	438	439	440
"14"	44	45	434	435	440
"15"	44	325	434	435	440
"16"	44	434	435	437	438
"17"	44	434	435	437	440
"18"	44	434	435	438	440
"19"	44	434	435	440	443
"20"	44	434	437	438	440
"21"	44	435	437	438	440
"22"	44	437	438	439	440
"23"	434	435	437	438	440
"24"	434	437	438	439	440

6 -itemset frequent pattern :
"V1"	"V2"	"V3"	"V4"	"V5"	"V6"
"1"	27	44	434	435	437	440
"2"	27	44	434	437	438	440
"3"	44	434	435	437	438	440

